auc,precision,recall,accuracy,model,sampling,rep
0.9187863806253725,0.8731141199226305,0.9284245166598107,0.8565714285714285,node_basic,deg,15
0.9168454392688146,0.8773991382687035,0.9214315096668038,0.856,node_full,deg,15
0.9254661587793157,0.88756927949327,0.9222542163718634,0.8648571428571429,egoalter_basic,deg,15
0.927320904484829,0.88269680436477,0.9317153434800494,0.8665714285714285,egoalter_full,deg,15
0.920006480956404,0.8579970104633782,0.9433032046014791,0.8519577022006287,node_nonetwork,edge,15
0.9197418419032408,0.8667430316914853,0.932621199671323,0.8533866819091169,node_basic,edge,15
0.9196789611952735,0.8708685626441199,0.9309778142974527,0.8559588453843956,node_full,edge,15
0.9267119562072518,0.8876092136616363,0.918241577649959,0.8622463561017434,egoalter_basic,edge,15
0.9301476346437981,0.8800154320987654,0.9371405094494659,0.8673906830523006,egoalter_full,edge,15
0.9252827636124158,0.8853354134165367,0.9272875816993464,0.8651428571428571,node_nonetwork,node,16
0.9261199489301424,0.8836392034361578,0.9244281045751634,0.862,node_basic,node,16
0.925160447575735,0.8832428238944918,0.9301470588235294,0.8651428571428571,node_full,node,16
0.9333226161186908,0.887890625,0.9285130718954249,0.868,egoalter_basic,node,16
0.934878942071125,0.8870406189555126,0.9366830065359477,0.8722857142857143,egoalter_full,node,16
0.9239561310017136,0.8753366679492113,0.9335248256052524,0.8611428571428571,node_nonetwork,deg,16
0.9226710662794616,0.8880895283772982,0.9117767747230201,0.8585714285714285,node_basic,deg,16
0.9245008069774112,0.8883591577274533,0.9175215428805908,0.8622857142857143,node_full,deg,16
0.9283888129499319,0.8994299674267101,0.906442347148133,0.8642857142857143,egoalter_basic,deg,16
0.9336340696173874,0.8940711462450592,0.9281903980303652,0.8734285714285714,egoalter_full,deg,16
